Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,79.117142,79.285713,77.375717,78.432854,69.057251,140129500
2013-01-03,78.268570,78.524284,77.285713,77.442856,68.185600,88241300
2013-01-04,76.709999,76.947144,75.118568,75.285713,66.286301,148583400
2013-01-07,74.571426,75.614288,73.599998,74.842857,65.896370,121039100
2013-01-08,75.601425,75.984283,74.464287,75.044289,66.073723,114676800
2013-01-09,74.642860,75.001427,73.712860,73.871429,65.041084,101901100
2013-01-10,75.507141,75.531425,73.645714,74.787140,65.847328,150286500
2013-01-11,74.428574,75.045715,74.145714,74.328575,65.443581,87626700
2013-01-14,71.811432,72.500000,71.215714,71.678574,63.110344,183551900
2013-01-15,71.185715,71.284286,69.054283,69.417145,61.119232,219193100
2013-01-16,70.662857,72.777145,70.357140,72.298569,63.656235,172701200
2013-01-17,72.901428,72.964287,71.718575,71.811432,63.227329,113419600
2013-01-18,71.217140,71.745712,70.914284,71.428574,62.890232,118230700
2013-01-22,72.080002,72.554283,70.947144,72.110001,63.490219,115386600
2013-01-23,72.687141,73.570000,72.110001,73.430000,64.652420,215377400
2013-01-24,65.714287,66.532860,64.321426,64.357140,56.664101,365213100
2013-01-25,64.527145,65.175713,62.142857,62.840000,55.328323,302006600
2013-01-28,62.547142,64.744286,62.265713,64.261429,56.579826,196379400
2013-01-29,65.500000,65.742859,64.588570,65.467140,57.641415,142789500
2013-01-30,65.285713,66.085716,64.928574,65.261429,57.460304,104288800
2013-01-31,65.282860,65.611427,64.997147,65.070000,57.291748,79833600
2013-02-01,65.587143,65.639999,64.050003,64.802856,57.056534,134871100
2013-02-04,64.844284,65.134285,63.142857,63.188572,55.635216,119279300
2013-02-05,63.435715,65.677139,63.174286,65.405716,57.587337,143336900
2013-02-06,65.209999,66.642860,64.654289,65.335716,57.525696,148426600
2013-02-07,66.178574,67.142860,64.874283,66.888573,59.236176,176145200
2013-02-08,67.714287,68.401428,66.892860,67.854286,60.091400,158289600
2013-02-11,68.071426,69.277145,67.607140,68.561432,60.717636,129372600
2013-02-12,68.501427,68.911430,66.820000,66.842857,59.195671,152263300
2013-02-13,66.744286,67.662857,66.174286,66.715714,59.083073,118801900
2013-02-14,66.360001,67.377144,66.288574,66.655716,59.029938,88818800
2013-02-15,66.978569,67.165718,65.702858,65.737144,58.216469,97936300
2013-02-19,65.871429,66.104286,64.835716,65.712860,58.194962,108945900
